"","x"
"1",0.0488775342553191
"2",0.0707239130434783
"3",0.0564342765957447
"4",0.0239879564102564
"5",0.00891266666666667
"6",0.225942857142857
"7",0.360009090909091
"8",0.51050625
"9",0.32818170212766
"10",0.282548936170213
"11",0.146912893617021
"12",0.186913428571429
"13",0.192440808510638
"14",0.187795957446809
"15",0.0941203071428571
"16",0.117866787878788
"17",0.174699911111111
"18",0.215870434782609
"19",0.182293404255319
"20",0.191691063829787
"21",0.19750829787234
"22",0.0630813617021277
"23",0.00261995384615385
"24",0.170296371428571
"25",0.183896531914894
"26",0.206887531914894
"27",0.131126914893617
"28",0.182882424242424
"29",0.130037228571429
"30",0.204219586956522
"31",0.15221003125
"32",NA
"33",NA
"34",NA
"35",NA
"36",0.1734894625
"37",0.206766808510638
"38",0.256774255319149
"39",0.190962234042553
"40",0.17775
"41",0.135324652173913
"42",0.143145127659574
"43",0.186199382978723
"44",0.127234847826087
"45",0.0729927021276596
"46",0.150061680851064
"47",0.144202553191489
"48",0.162068723404255
"49",0.158025319148936
"50",0.209902680851064
"51",0.16473914893617
"52",0.132001538461538
"53",0.0636833744893617
"54",0.0842906407407407
"55",0.0607469333333333
"56",0.0139475195652174
"57",0.203257739130435
"58",0.0866577608695652
"59",0.177942666666667
"60",0.0991783965517241
"61",0.183070411764706
"62",0.133197191489362
"63",0.137297435897436
"64",0.0258807125
"65",0.102215910638298
"66",0.094264170212766
"67",0.118744212765957
"68",0.0892038936170213
"69",0.0755520425531915
"70",0.103883914893617
"71",0.0848945170212766
"72",0.159901340425532
"73",0.183545957446809
"74",0.234604042553191
"75",0.302682765957447
"76",0.30154
"77",0.395530675
"78",0.311699426666667
"79",0.132193978723404
"80",0.338971717391304
"81",0.415943042553191
"82",0.57404215
"83",0.581170095238095
"84",0.557132340425532
"85",0.458482385106383
"86",0.532067555555556
"87",0.5362
"88",0.333643050212766
"89",0.395048936170213
"90",0.485189787234043
"91",0.39502914893617
"92",0.305260869565217
"93",0.349982857142857
"94",0.278203617021277
"95",0.212847978723404
"96",0.23634
"97",0.225474191489362
"98",0.357355266666667
"99",0.474198948571429
"100",0.322054085106383
"101",0.0573183680851064
"102",-0.0717536170212766
"103",0.131813191489362
"104",-0.0823831914893617
"105",-0.28661104893617
"106",0.525897872340426
"107",-0.457163191489362
"108",-0.470608991489362
"109",-2.65633333333333
"110",-1.52597408510638
"111",-1.45364723404255
"112",-1.45434512765957
"113",-1.8128455106383
"114",-2.308464
"115",-1.56414893617021
"116",-2.1381170212766
"117",-1.70177255319149
"118",-0.897927617021277
"119",-1.53856380851064
"120",-2.03015531914894
"121",-1.7256270212766
"122",-2.11055012765957
"123",-2.29451361702128
"124",-1.81530957446809
"125",-1.96720212765957
"126",-0.0223296296296296
"127",-2.55867083333333
"128",NA
"129",-2.17442619047619
"130",-1.78194723404255
"131",-2.22240826382979
"132",-1.94596954042553
"133",-2.16294483829787
"134",-2.6104629787234
"135",-1.81554808510638
"136",-2.29048659574468
"137",0.9749
"138",-2.22102058823529
"139",-1.81721276595745
"140",-2.45524244444444
"141",-2.38011978723404
"142",-3.00447560425532
"143",-2.09361063829787
"144",-3.01657240425532
"145",-1.26455319148936
"146",-2.01483638297872
"147",-1.49034042553191
"148",-2.10260055319149
"149",-0.351256085106383
"150",-2.99372978723404
"151",-3.37940917021277
"152",-2.52800495744681
"153",-2.54559217021277
"154",-3.0108085106383
"155",-3.0753900212766
"156",-0.110057575757576
"157",-0.77525
"158",-2.81840425531915
"159",-2.09799776595745
"160",-2.58062340425532
"161",-3.88310917659574
"162",-3.34759317021277
"163",-2.5879570212766
"164",-1.37784553191489
"165",-1.26537604255319
"166",-1.26833382978723
