"","x"
"1",0.358842277307013
"2",0.157871179685544
"3",0.180270331144221
"4",0.124071750729623
"5",0.322081829826635
"6",0.81078647448075
"7",1.18775135382606
"8",1.57120383048168
"9",0.779844657794994
"10",-3.29655138401754
"11",-5.23773044309913
"12",-5.20527234506855
"13",-2.34080715224497
"14",-1.82222344119651
"15",-1.47889827412408
"16",-0.877192827953915
"17",0.110961922473404
"18",1.4762784150266
"19",1.21057492141564
"20",0.486924449595282
"21",0.303814885015514
"22",0.254691909950806
"23",0.335102757210402
"24",0.139783061827689
"25",0.191121100636903
"26",0.228153131812429
"27",0.286798234366275
"28",0.396552880117666
"29",0.708495141073081
"30",0.881440156581483
"31",1.08032680614657
"32",1.28328824986702
"33",1.79370088974407
"34",-1.56967270197991
"35",-4.93278047443083
"36",-3.80123768029127
"37",-4.18992217164437
"38",-4.13616012586398
"39",-1.32448420258698
"40",1.32653868544397
"41",2.00803455000105
"42",1.24027448406075
"43",0.949531407386514
"44",0.524162726200793
"45",0.403115673582776
"46",0.304290291919812
"47",0.279746606214628
"48",0.308923916858194
"49",0.389361484199651
"50",0.340163873401561
"51",0.507794598477076
"52",0.519656957214807
"53",0.947154414526782
"54",1.00264411940012
"55",1.49784905347036
"56",-1.52649746635446
"57",-4.82470836928255
"58",-5.44384320021392
"59",-4.39864083751542
"60",-5.26566983028277
"61",-2.21752061731765
"62",-1.54514885954392
"63",1.05716421744912
"64",1.7669195720769
"65",1.3850145904182
"66",0.827887643418302
"67",0.749895001601526
"68",0.579419481420743
"69",0.571551664915792
"70",0.0803452353896826
"71",0.393538817376573
"72",0.478227563598921
"73",0.405670583259384
"74",0.500350540135384
"75",0.642923889333999
"76",1.09209687341415
"77",1.79903360385817
"78",-0.341097205082742
"79",-4.12719364186548
"80",-4.77746736644311
"81",-5.89235938023817
"82",-5.59041035760422
"83",-3.5741015895859
"84",-4.00810461954787
"85",-2.16284042174812
"86",1.722146791596
"87",2.03125690670804
"88",1.1233199392602
"89",0.756595799748046
"90",0.641524531561162
"91",0.647147551857725
"92",0.67086601713706
"93",0.548212190645331
"94",0.638585866139891
"95",0.345368974266704
"96",0.400950953086936
"97",0.611257143800459
"98",0.765140073299246
"99",0.845537812170603
"100",2.00559299098245
"101",0.743396680768079
"102",-2.67009587609517
"103",-4.21142806034123
"104",-4.30041160018183
"105",-3.87432454072357
"106",-2.33420132069636
"107",-1.83630316996498
"108",-0.243081772590191
"109",1.88839291613462
"110",1.96093892327029
"111",1.53757804724336
"112",0.97481317007474
"113",0.6648804922541
"114",0.445455831912412
"115",0.330189837731006
"116",0.390987342543791
"117",0.440606462756932
"118",0.406713143825874
"119",0.359841086592661
"120",0.494640002924639
"121",0.413689602737627
"122",0.756301499761666
"123",0.873321714993833
"124",1.70059762028267
"125",-1.07586363808925
"126",-4.82475922436797
"127",-4.26604711195655
"128",-4.33575852719025
"129",-3.60215382721629
"130",-3.00218499182121
"131",-3.30083792637845
"132",-0.334365950329273
"133",2.40122727526596
"134",1.54775069695626
"135",0.994835112723463
"136",0.726969503259893
"137",0.504418139605989
"138",0.366702288650277
