"","x"
"1",0.143965121821551
"2",0.068122513912369
"3",0.0579542935765495
"4",0.016518094477914
"5",0.124650273545082
"6",0.241282991262824
"7",0.132390959248477
"8",-0.645990151094665
"9",-1.08866190559653
"10",-1.30582174778017
"11",-0.953461708042696
"12",-0.978325195259458
"13",-0.632839322684895
"14",-0.255062716931441
"15",0.123189192445439
"16",-0.13229636552518
"17",-0.550094861276085
"18",-0.0408725673974546
"19",0.110023817964644
"20",0.294351383571117
"21",0.14986418418469
"22",0.116619001329359
"23",0.199351306362165
"24",0.0656852296119114
"25",0.078503542725373
"26",0.085348810425259
"27",0.131563978582481
"28",0.210289414208231
"29",0.337422661730458
"30",0.130400616911317
"31",-0.310181891003122
"32",-0.776377425418173
"33",-0.932245097786455
"34",-1.69831615839229
"35",-0.937631587896879
"36",0.442346431768232
"37",0.494670826241135
"38",-0.940406295423281
"39",-0.549283630754753
"40",-0.0805749233798706
"41",-0.234835724462398
"42",0.385708746240618
"43",0.381304172725431
"44",0.255070261124537
"45",0.16300875356383
"46",0.0663108040121581
"47",0.0969719015378653
"48",0.0870189281641488
"49",0.142080544467032
"50",0.104858346046609
"51",0.0926968707998552
"52",0.242960445335478
"53",-0.308026940275117
"54",-0.448420449367484
"55",-0.665305225838898
"56",-0.981101279182879
"57",-0.858484257979943
"58",0.00876568612908552
"59",-0.041104300222575
"60",-0.17795020905864
"61",-0.0633619973008545
"62",0.0697798744702513
"63",-0.854268893845312
"64",-0.119577874766476
"65",0.254766079705679
"66",0.350202136042175
"67",0.216219255251784
"68",0.179594725957447
"69",0.14937602250271
"70",0.0748711373908857
"71",0.0688363455960296
"72",0.0554728938307982
"73",0.0622368771652405
"74",0.0861766976872826
"75",0.360649783497617
"76",-0.62407885793617
"77",-0.913290976932944
"78",-1.10573596362536
"79",-1.03230709497283
"80",-0.411326395618205
"81",-0.650093230188648
"82",-0.0969270479774333
"83",-0.985723572688611
"84",-0.738039484092753
"85",-0.0618627426788639
"86",-0.336734581198646
"87",-0.208651585846438
"88",0.33444346137315
"89",0.16126856536376
"90",0.160398331970783
"91",0.22228097520525
"92",0.25292177765882
"93",0.196628706362179
"94",0.10248071700849
"95",0.100475554423309
"96",0.0661513403429004
"97",0.152512440711462
"98",0.40826289821417
"99",-0.0301740989606207
"100",-0.967951434364347
"101",-1.19399533647708
"102",-1.38669877566832
"103",-3.09876023290257
"104",-0.693605796205863
"105",-0.232227906122189
"106",-0.677150980675944
"107",-0.633099243242673
"108",-0.485834025352667
"109",-0.66783166583364
"110",-0.200278337711398
"111",0.271163427722534
"112",0.201074525945395
"113",0.232874315647629
"114",0.162018614130435
"115",0.105988860747948
"116",-0.0275298976641998
"117",0.0992253295559667
"118",0.0991269946808511
"119",0.0913828457446808
"120",0.149504803244859
"121",0.143999904015358
"122",0.355132111899133
"123",-0.211988178045359
"124",-0.894322074468085
"125",-1.36948563829787
"126",-1.18694184421249
"127",-0.850747473404255
"128",-0.503704200393155
"129",-0.681703636679001
"130",-0.194349930619796
"131",-0.979006515957447
"132",-0.33895243987049
"133",-0.0438249697775629
"134",0.000414631113567282
"135",0.271169323348047
"136",0.281292531983102
"137",0.149259753071687
"138",0.123017893327544
